Beds,Baths,Square Feet,lotSize,Property Type,Listing Price,Address,city
5,5,4054,7408,Residential - Single Family,1049777,13119 Granger Ave,Orlando
2,2,820,261435,Condominium,185000,3709 Atrium Dr,Orlando
3,4,2695,24071,Residential - Single Family,490000,3728 S Lake Orlando Pkwy,Orlando
3,2,1560,8620,Residential - Single Family,289900,5284 Signal Hill Rd,Orlando
4,4,3704,14860,Residential - Single Family,2800000,2659 Lake Shore Dr,Orlando
2,1,1691,5151,Residential - Single Family,475000,122 N Mills Ave,Orlando
2,2,1125,63139,Condominium,159999,5861 La Costa Dr #115,Orlando
2,2,1056,1056,Condominium,299900,7395 Universal Blvd #606,Orlando
3,4,2192,2950,Townhouse,650000,1602 Park Lake St #5,Orlando
3,4,2081,1460,Townhouse,615000,1602 Park Lake St #4,Orlando
3,2,1100,4600,Residential - Single Family,325000,5423 Timberchase Ct,Orlando
3,4,2120,1460,Townhouse,625000,1602 Park Lake St #3,Orlando
NaN,NaN,15364,NaN,Land,1100000,10221 Atterbury Ct,Orlando
NaN,NaN,17236,NaN,Land,1000000,9700 Blandford Rd,Orlando
NaN,NaN,9429,NaN,Land,820000,8623 Farthington Way,Orlando
NaN,NaN,9433,NaN,Land,820000,8655 Farthington Way,Orlando
3,3,2417,76230,Residential - Single Family,625000,806 W Lake Mann Dr,Orlando
3,4,2150,1452,Townhouse,625000,1602 Park Lake St #2,Orlando
2,2,1368,NaN,Multi Family,394990,7557 Laureate Boulevard # 6201,Orlando
2,1,934,10259,Condominium,165000,4528 Commander Dr #2025,Orlando
2,2,1140,57259,Condominium,544900,150 E Robinson St #2405,Orlando
1,1,729,3668,Condominium,269900,155 S Court Ave #1606,Orlando
3,2,1254,6964,Residential - Single Family,450000,1913 Westpointe Cir,Orlando
4,3,3070,13295,Residential - Single Family,660000,8513 Corinth Pointe Ct,Orlando
1,1,636,2565,Condominium,152500,120 W America St #8,Orlando
3,3,2010,1423,Townhouse,440000,6383 Conejo Ter #102,Orlando
4,3,2068,10126,Residential - Single Family,310000,1522 W Washington St,Orlando
3,1,950,9113,Residential - Single Family,299999,1589 S Oxalis Ave,Orlando
3,2,1544,9751,Residential - Single Family,455000,1412 N Bumby Ave,Orlando
3,2,1747,3850,Residential - Single Family,586000,8445 Nemours Pkwy,Orlando
3,3,2081,3680,Residential - Single Family,450000,4739 Creekside Park Ave,Orlando
4,4,2548,6207,Residential - Single Family,1129000,827 Dartmouth St,Orlando
4,4,2548,6206,Residential - Single Family,1129000,833 Dartmouth St,Orlando
1,1,675,203206,Condominium,152500,3534 Southpointe Dr #1,Orlando
4,3,1868,683,Condominium,367000,6119 Metrowest Blvd #116,Orlando
3,2,2274,2275,Townhouse,439500,10514 Green Ivy Ln,Orlando
1,1,763,58858,Condominium,199900,911 N Orange Ave #125,Orlando
2,1,1140,7730,Residential - Single Family,228500,415 Sunset Dr,Orlando
4,3,2428,10193,Residential - Single Family,678500,1329 Radclyffe Rd,Orlando
4,2,1104,7041,Residential - Single Family,265000,4900 Elese St,Orlando
3,3,1742,2945,Townhouse,399900,9575 Silver Buttonwood St,Orlando
5,4,3136,6919,Residential - Single Family,639000,7216 Hawksnest Blvd,Orlando
2,2,1160,6122,Condominium,204900,3368 Parkchester Square Blvd #103,Orlando
2,2,1014,9109,Condominium,205000,2652 Robert Trent Jones Dr #517,Orlando
3,2,1965,11550,Residential - Single Family,655000,1822 Biscayne Dr,Orlando
4,2,1969,8917,Residential - Single Family,399000,4915 Oakbrooke Pl,Orlando
4,2,1192,10833,Condominium,234000,2019 Dixie Belle Dr #2019A,Orlando
3,2,1717,6763,Residential - Single Family,409000,5865 Manchester Bridge Dr,Orlando
3,4,1969,2394,Townhouse,598000,121 W Grant St,Orlando
2,2,1062,7542,Residential - Single Family,400000,2500 Depauw Ave,Orlando
3,2,1610,8060,Residential - Single Family,312000,5637 Andora St,Orlando
3,2,1792,9942,Residential - Single Family,399000,4600 Arcie St,Orlando
4,2,2110,6721,Residential - Single Family,499000,9855 Nonacrest Dr,Orlando
3,2,1410,5747,Condominium,565000,1832 Meeting Pl #102,Orlando
1,1,971,13663,Condominium,299000,530 E Central Blvd #501,Orlando
2,2,1063,10684,Condominium,219990,5132 City St #324,Orlando
2,2,1061,573,Condominium,174900,4613 Ring Neck Rd #B1,Orlando
3,2,1286,9740,Condominium,277000,6524 Swissco Dr #1012,Orlando
2,2,966,NaN,Condominium,215000,3118 S Semoran Blvd #7,Orlando
2,2,991,5936,Condominium,189900,5974 Westgate Dr #201,Orlando
3,3,1680,11761,Residential - Single Family,465000,338 Bunker Pl,Orlando
4,3,2689,5751,Residential - Single Family,699900,9981 Moss Rose Way,Orlando
2,1,1093,NaN,Condominium,185500,5536 Metrowest Blvd #106,Orlando
3,2,2002,16012,Condominium,356900,3368 Robert Trent Jones Dr #30108,Orlando
1,1,991,4795,Condominium,210000,6396 Raleigh St #2911,Orlando
3,2,1343,7286,Residential - Single Family,475000,2206 Montana St,Orlando
3,2,2085,10445,Residential - Single Family,525000,3006 Huntington St,Orlando
5,3,3194,8751,Residential - Single Family,590000,7315 Windham Harbour Ave,Orlando
5,4,2908,6891,Residential - Single Family,679000,9819 Brown Burrow St,Orlando
3,2,1073,1256,Condominium,325000,3129 Eagle Blvd #E,Orlando
3,4,1943,1497,Townhouse,529000,61 W Grant St,Orlando
4,5,3656,16061,Residential - Single Family,2150000,9783 Covent Garden Dr,Orlando
2,2,1054,8262,Condominium,180000,5737 Gatlin Ave #422,Orlando
5,5,4265,15214,Residential - Single Family,3345000,8575 Lake Nona Shore Dr,Orlando
4,4,2988,5741,Residential - Single Family,699000,6977 Dolce St,Orlando
5,6,5107,19297,Residential - Single Family,2999000,9672 Bryanston Dr,Orlando
2,2,829,3925,Condominium,230000,1085 S Hiawassee Rd #511,Orlando
NaN,NaN,8325,NaN,Land,442000,1833 Baylarian Blvd,Orlando
3,2,1958,6999,Residential - Single Family,549000,1702 Cardinal Rd,Orlando
5,3,3838,8088,Residential - Single Family,759000,7753 Bardmoor Hill Cir,Orlando
3,3,1678,601,Condominium,322000,6111 Metrowest Blvd #102,Orlando
2,2,1027,961,Condominium,160000,4569 Lighthouse Cir #41,Orlando
4,4,3105,6499,Residential - Single Family,799000,11850 Aurelio Ln,Orlando
3,1,1012,8715,Residential - Single Family,425000,1036 N Fern Creek Ave,Orlando
3,3,1755,1899,Townhouse,379900,9417 Tawnyberry St,Orlando
3,2,1152,4262,Residential - Single Family,290000,5414 Seedling Ln,Orlando
3,3,1594,3408,Townhouse,359990,3141 Merton Aly,Orlando
3,2,1285,10394,Condominium,294000,6153 Metrowest Blvd #103,Orlando
3,3,1700,3753,Townhouse,490000,2513 E Central Blvd #B,Orlando
3,2,1360,7502,Residential - Single Family,399900,1049 Formosa Ave,Winter Park
3,3,2810,5500,Residential - Single Family,519900,9861 Moss Rose Way,Orlando
1,1,729,3668,Condominium,272000,155 S Court Ave #1706,Orlando
3,2,925,7717,Residential - Single Family,320000,3114 E Jefferson St,Orlando
2,3,1800,2081,Condominium,389900,542 W Par St #5,Orlando
4,3,1628,2347,Townhouse,445000,7919 Northlake Pkwy,Orlando
3,2,1192,10833,Condominium,219000,2019 Dixie Belle Dr #2019W,Orlando
3,3,1776,2441,Townhouse,525000,9097 Laureate Blvd,Orlando
2,2,1200,2082,Condominium,329000,540 W Par St #540,Orlando
3,3,1761,739,Townhouse,459000,1434 Catherine St,Orlando
3,3,1682,999,Townhouse,329000,6235 Goethe St #105,Orlando
4,3,2822,5471,Residential - Single Family,670000,6842 Dolce St,Orlando
2,2,960,1022,Condominium,174900,4631 Ring Neck Rd #39-A,Orlando
2,1,1021,105,Condominium,207500,7270 Westpointe Blvd #914,Orlando
3,4,1834,1601,Townhouse,574900,117 E Concord St #8,Orlando
4,3,2936,5249,Residential - Single Family,615000,5035 Southlawn Ave,Orlando
5,2,1375,9113,Residential - Single Family,330000,821 Thalia Dr,Orlando
4,4.5,4416,NaN,Residential - Single Family,1648995,9360 Santorini Dr,Orlando
6,5,4241,15264,Residential - Single Family,1700000,213 E Concord St,Orlando
2,1,1044,6817,Residential - Single Family,346000,217 Esther St,Orlando
4,4,2616,6499,Residential - Single Family,749000,11859 Barletta Dr,Orlando
5,7,5760,14181,Residential - Single Family,3300000,9864 Covent Garden Dr,Orlando
5,4,2928,5578,Residential - Single Family,1024800,9544 Tavistock Lakes Blvd,Orlando
3,3,1970,4282,Residential - Single Family,605000,8435 Reymont St,Orlando
3,2,1571,9510,Residential - Single Family,325000,3205 Oak Bluff Dr,Orlando
2,2,1084,1101,Condominium,175000,4456 Ring Neck Rd #28-C,Orlando
3,2,1976,8448,Residential - Single Family,599900,25 NE Ivanhoe Blvd,Orlando
4,4,2966,6042,Residential - Single Family,1150000,14676 Walcott Ave,Orlando
3,2,1295,0,Condominium,249800,2528 Robert Trent Jones Dr #1626,Orlando
3,3,1534,1760,Townhouse,354900,3668 Iditarod Ln,Orlando
1,1,744,93940,Condominium,202500,204 E South St #2062,Orlando
1,1,625,241461,Condominium,137900,5187 La Mancha Ct #25,Orlando
3,2,1332,5500,Residential - Single Family,331000,1732 Sage Creek Ct,Orlando
4,1,1212,8673,Residential - Single Family,390000,101 Forest Cir,Orlando
1,2,1195,57259,Condominium,425000,150 E Robinson St #827,Orlando
3,2,1132,12422,Residential - Single Family,199000,4705 Lawne Blvd,Orlando
3,3,1634,3674,Townhouse,295000,6648 Time Square Ave #105,Orlando
4,3,2037,3831,Residential - Single Family,606987,14226 Lanikai Beach Dr,Orlando
2,2,1535,1631,Condominium,419000,7573 Laureate Blvd #1104,Orlando
3,2,1447,NaN,Condominium,299000,6466 Cava Alta Dr #304,Orlando
3,2,1107,9750,Residential - Single Family,254995,3013 Herold Dr,Orlando
2,3,1449,1080,Townhouse,489995,8674 Valentine Aly,Orlando
3,2,1177,9563,Residential - Single Family,499000,515 Altaloma Ave,Orlando
4,3,2397,7128,Residential - Single Family,585000,10050 Brown Burrow St,Orlando
3,2,1341,8837,Residential - Single Family,504900,552 Buckminster Cir,Orlando
5,3,2304,5555,Residential - Single Family,499900,3872 Lake Warren Dr,Orlando
3,3,2000,10152,Residential - Single Family,625000,7345 Grotto Ave,Orlando
2,3,1657,10408,Townhouse,375000,568 S Osceola Ave #15,Orlando
2,2,1486,NaN,Condominium,434999,7517 Laureate Blvd #4304,Orlando
2,2,1051,23536,Condominium,190000,6104 Curry Ford Rd #106,Orlando
3,3,1348,2347,Townhouse,386500,9168 Camden Gardens St,Orlando
2,2.5,1449,NaN,Multi Family,599995,2150 Whitney Marsh Aly,Orlando
3,2,2140,8262,Residential - Single Family,625000,1700 Robin Rd,Orlando
1,1,943,945,Condominium,179000,6412 Queens Borough Ave #205,Orlando
3,2,1767,7948,Residential - Single Family,599000,8058 Corkfield Ave,Orlando
2,2,930,756179,Condominium,170000,2508 Woodgate Blvd #201,Orlando
NaN,NaN,8415,NaN,Land,32000,1347 Winnifred St Orlando,Other City - In The State Of Florida
4,2,1062,3976,Residential - Single Family,178800,808 Randall St,Orlando
2,2,1200,687318,Condominium,290000,6506 S Goldenrod Rd #A,Orlando
3,3,1836,5239,Townhouse,414000,1601 Wilson Ave,Orlando
5,3,3460,5603,Residential - Single Family,849121,95 Mcmillian Dr,Orlando
3,3,3730,9749,Residential - Single Family,1225000,340 Mashie Ln,Orlando
3,4,2234,1399,Townhouse,750000,1200 Lake Baldwin Ln,Orlando
NaN,NaN,13362,NaN,Land,600000,2 S Orange Blossom Trl,Orlando
5,4,3415,6288,Residential - Single Family,768713,13184 Markowitz Aly,Orlando
3,2,1354,8525,Residential - Single Family,445000,124 E Muriel St,Orlando
2,2,1027,3885,Residential - Single Family,335000,2600 Musselwhite Ave,Orlando
4,4,2247,3615,Residential - Single Family,659554,10340 Marconi Ave,Orlando
3,3,2411,6288,Residential - Single Family,731450,10358 Marconi Ave,Orlando
4,4,3412,5415,Residential - Single Family,835322,13203 E Mcmillan Dr,Orlando
3,3,1788,3692,Residential - Single Family,736546,10376 Marconi Ave,Orlando
4,4,2288,3692,Residential - Single Family,730627,10259 Pearson Ave,Orlando
4,4,2328,3692,Residential - Single Family,724564,9922 Rodbell St,Orlando
5,5,3909,5607,Residential - Single Family,952897,13268 Mcmillian Dr,Orlando
3,2,1398,6378,Multi Family,599900,806 E Livingston St,Orlando
3,1,1073,6098,Residential - Single Family,189500,2913 W Amelia St,Orlando
5,4,2768,5814,Residential - Single Family,829900,7935 Nemours Pkwy,Orlando
4,3,2020,7974,Residential - Single Family,500000,502 Lake Como Cir,Orlando
4,3,1810,3125,Townhouse,465000,11854 Nautica Dr,Orlando
3,2,1275,6737,Residential - Single Family,395000,1614 Gadsen Blvd,Orlando
1,1,729,3668,Condominium,285000,155 S Court Ave #2706,Orlando
2,2,1028,NaN,Condominium,175000,5156 Conroy Rd #1113,Orlando
4,3,2411,6011,Residential - Single Family,575000,10030 Cobalt Bay Rd,Orlando
3,2,1571,8572,Residential - Single Family,310000,3152 Barnstable Pl,Orlando
3,2,1892,9847,Residential - Single Family,449999,4969 Casaba Pl,Orlando
2,2,953,102801,Condominium,191000,2301 Oak Park Way #101,Orlando
3,2,1633,10579,Residential - Single Family,402000,2705 Gulfstream Rd,Orlando
3,3,1464,2225,Townhouse,350000,6144 Tivoli Gardens Blvd,Orlando
NaN,NaN,16531,NaN,Land,350000,900 Arlington St,Orlando
NaN,NaN,15653,NaN,Land,2900000,222 N Parramore Ave,Orlando
3,3,1805,2945,Townhouse,374999,9531 Silver Buttonwood St,Orlando
4,3,2442,15327,Residential - Single Family,510000,5050 Heartland St,Orlando
3,2,1400,10576,Residential - Single Family,435000,1416 Maury Rd,Orlando
4,3,2970,5499,Residential - Single Family,659999,4971 Longmeadow Park St,Orlando
5,5,3518,7363,Residential - Single Family,887009,130 Strickland Aly,Orlando
3,2,1334,6535,Condominium,249900,1935 Conway Rd #C6,Orlando
1,2,765,9413,Condominium,124500,4117 S Semoran Blvd #8,Orlando
1,1,945,12155,Condominium,155000,3406 Soho St #303,Orlando
3,3,1682,1020,Condominium,365000,3150 Stowe St #107,Orlando
2,2,1138,57259,Condominium,660000,150 E Robinson St #3410,Orlando
1,2,830,10982,Condominium,159900,2007 Dixie Belle Dr #2007I,Orlando
3,2.5,2216,NaN,Residential - Single Family,666360,14218 Lanikai Beach Dr,Orlando
3,3,1787,115362,Condominium,319000,2249 Ohara Ct #1059,Orlando
1,1,846,385598,Condominium,174900,5550 E Michigan St #2102,Orlando
2,2,1322,8001,Residential - Single Family,399000,1329 Margate Ave,Orlando
4,3,2963,9269,Residential - Single Family,950000,925 Mayfair Cir,Orlando
2,2,1132,57259,Condominium,624999,150 E Robinson St #20B-3,Orlando
4,3,3090,10552,Residential - Single Family,850000,1217 Reading Dr,Orlando
3,1,977,5415,Residential - Single Family,189900,4078 Ferrow St,Orlando
5,5,3630,6000,Residential - Single Family,848593,6 Mowry Ct,Orlando
4,4,4226,7200,Residential - Single Family,831659,5 Mowry Ct,Orlando
4,3,3210,6000,Residential - Single Family,833893,4 Mowry Ct,Orlando
4,3,3210,6000,Residential - Single Family,848893,3 Mowry Ct,Orlando
5,4,3479,11047,Residential - Single Family,729950,8703 Windsor Pointe Dr,Orlando
5,5,3630,6000,Residential - Single Family,926593,1 Mowry Ct,Orlando
3,2,2085,6749,Residential - Single Family,720156,190 Milfoil Ave,Orlando
1,1,744,93940,Condominium,204000,202 E South St #5050,Orlando
4,3,2235,6000,Residential - Single Family,647523,19277 Allium Pl,Orlando
5,4,3628,7199,Residential - Single Family,879564,18435 Mowry Ct,Orlando
2,1,1526,7510,Residential - Single Family,380000,411 Lakeview St,Orlando
5,3.5,3764,NaN,Residential - Single Family,777990,Plan Deerfield - 8704 Crick Aly,Orlando
4,3.5,3404,NaN,Residential - Single Family,736990,Plan Baldwin - 8704 Crick Aly,Orlando
5,4.5,4024,NaN,Residential - Single Family,805990,Plan Prescott - 8704 Crick Aly,Orlando
3,2,1860,9400,Residential - Single Family,429000,5271 Jennifer Pl,Orlando
2,2,1157,28480,Condominium,430000,322 E Central Blvd #513,Orlando
2,3,1472,2102,Townhouse,389975,14526 Orchid Island Dr,Orlando
3,2,1365,9323,Residential - Single Family,499000,1441 Stetson St,Orlando
3,2,1489,11882,Condominium,320000,3315 Parkchester Square Blvd #302,Orlando
3,3,2725,6750,Residential - Single Family,649000,1006 Nottingham St,Orlando
5,3,2327,6614,Residential - Single Family,885000,385 Niblick Way,Orlando
3,2,1334,6535,Condominium,240000,1935 S Conway Rd #A8,Orlando
1,1,780,2946,Condominium,95000,2759 L B Mcleod Rd #B,Orlando
5,3,2768,5542,Residential - Single Family,600000,9978 Bennington Chase Dr,Orlando
3,4,2100,42714,Townhouse,650000,54 W Jersey St #8,Orlando
5,5,4263,8375,Residential - Single Family,1297000,13473 Panama Beach Ct,Orlando
3,2.5,1652,NaN,Multi Family,482515,14268 Sapelo Beach Dr,Orlando
4,2,1938,6972,Residential - Single Family,659900,12245 Regal Lily Ln,Orlando
3,3,2500,7036,Residential - Single Family,799000,1828 Kalurna Ct,Orlando
3,2,1078,4954,Residential - Single Family,399000,1101 Morris Ave,Orlando
1,1,597,6711,Condominium,175350,5152 Conroy Rd #1333,Orlando
2,2,988,8704,Condominium,190000,5160 Conroy Rd #1411,Orlando
2,2,874,7130,Condominium,229000,2203 Yankee Pl #428,Orlando
3,2,1423,8756,Condominium,240000,7240 Westpointe Blvd #1117,Orlando
3,2,1723,15630,Residential - Single Family,360000,2805 Gulfstream Ct,Orlando
4,4,4800,0,Condominium,2750000,100 S Eola Dr #PH220,Orlando
2,2,1071,8755,Condominium,209900,7310 Westpointe Blvd #626,Orlando
2,2,1160,6122,Residential - Single Family,245000,3403 Greenwich Village Blvd #103,Orlando
NaN,NaN,9626,NaN,Land,1250000,617 E Church St,Orlando
2,2,1233,12155,Condominium,230000,3406 Soho St #305,Orlando
2,2,935,1240,Condominium,135000,4802 Lighthouse Cir #38,Orlando
6,6.5,4961,NaN,Residential - Single Family,1851995,9652 English Laurel Ave,Orlando
3,2,1237,10071,Condominium,219900,5132 Conroy Rd #28,Orlando
5,5,4058,8471,Residential - Single Family,1650000,13703 Granger Ave,Orlando
4,3,2534,9768,Residential - Single Family,598000,4360 Conroy Club Dr,Orlando
5,3,2754,7913,Residential - Single Family,506000,9946 Bennington Chase Dr,Orlando
4,5,3528,7800,Residential - Single Family,1050000,12107 Aztec Rose Ln,Orlando
1,1,724,9788,Condominium,175000,5017 City St #1937,Orlando
5,3,2476,5647,Residential - Single Family,769900,8918 Tavistock Lakes Blvd,Orlando
3,2,1081,122092,Condominium,230000,2428 Oak Park Way #202,Orlando
1,1,728,3668,Condominium,290000,155 S Court Ave #2214,Orlando
NaN,NaN,31722,NaN,Land,3000000,9180 Sloane St,Orlando
3,3,1835,4349,Residential - Single Family,699999,343 Broadway Ave,Orlando
2,2,1054,8279,Condominium,180000,4630 Commander Dr #1031,Orlando
4,3,2625,18948,Residential - Single Family,2299900,3202 Middlesex Rd,Orlando
2,2,1338,13663,Condominium,349000,530 E Central Blvd #605,Orlando
3,2,1275,8932,Residential - Single Family,299000,4432 Watch Hill Rd,Orlando
2,2,1430,4877,Condominium,268000,3362 Greenwich Village Blvd #201,Orlando
2,1,934,10056,Condominium,190000,4512 Commander Dr #1716,Orlando
1,1,854,11129,Condominium,165000,2632 Robert Trent Jones Dr #123,Orlando
3,4,2434,8829,Condominium,617700,1159 Delaney Ave #5,Orlando
1,1,674,9109,Condominium,153000,2652 Robert Trent Jones Dr #533,Orlando
2,4,1815,1350,Townhouse,550995,2232 Valentine Aly,Orlando
2,2,1174,13807,Condominium,265000,3593 Conroy Rd #412,Orlando
2,3,1750,29791,Townhouse,650000,1105 Poinsettia Ave #A,Orlando
1,1,930,5310,Condominium,195000,3391 Parkchester Square Blvd #201,Orlando
2,2,952,3700,Condominium,179900,1935 South Conway Road #I 5,Orlando
2,2,1240,673,Condominium,189900,1924 Conway Rd #3,Orlando
4,5,4833,5086,Residential - Single Family,1350000,840 Kenilworth Ter,Orlando
2,2,1000,10029,Condominium,179900,4200 Thornbriar Ln #208,Orlando
3,2.5,1652,NaN,Multi Family,399990,11087 Leafshore Loop,Orlando
3,3,1682,0,Townhouse,319000,6349 Castelven Dr #105,Orlando
2,2,1233,11780,Condominium,215000,3446 Soho St #B04,Orlando
4,3,2559,10143,Residential - Single Family,629900,707 Mayfair Cir,Orlando
3,2,1275,7066,Residential - Single Family,498999,1620 Park Lake St,Orlando
3,4,3129,28183,Condominium,799900,1110 SW Ivanhoe Blvd #16,Orlando
4,4,3788,14541,Residential - Single Family,675000,2457 Baesel View Dr,Orlando
4,5,3161,7094,Residential - Single Family,911144,87 Neruda St,Orlando
4,4,3724,6370,Residential - Single Family,973492,188 Mcmillian St,Orlando
5,4,3164,7049,Residential - Single Family,1390000,32 W Steele St,Orlando
5,5,4344,6370,Residential - Single Family,1023140,187 Mcmillian St,Orlando
5,4,4084,7014,Residential - Single Family,991290,189 Mcmillian St,Orlando
4,3,2963,6659,Residential - Single Family,1008000,51 E New Hampshire St,Orlando
3,2,2736,4800,Residential - Single Family,775467,143 Marconi Ave,Orlando
5,5,3901,13062,Residential - Single Family,1100000,2241 Lake Vilma Dr,Orlando
3,3,2397,6843,Residential - Single Family,740970,117 Robdell St,Orlando
4,4,3157,6843,Residential - Single Family,856308,135 Leggett Ave,Orlando
4,4,3157,6843,Residential - Single Family,878308,60 Peebles St,Orlando
5,4,3103,7094,Residential - Single Family,839894,90 Neruda St,Orlando
5,4,3103,7094,Residential - Single Family,839894,85 Marconi Ave,Orlando
3,2,2432,6199,Residential - Single Family,700990,162 Sabatier Aly,Orlando
6,4,3910,6199,Residential - Single Family,913810,168 Sabatier Aly,Orlando
6,4,3910,6199,Residential - Single Family,953811,129 Laxness St,Orlando
6,4,3910,6199,Residential - Single Family,938811,113 Leggett Aly,Orlando
4,3,3192,6199,Residential - Single Family,695990,169 Sabatier Aly,Orlando
4,3,3192,6199,Residential - Single Family,836862,58 Laxness St,Orlando
5,4,3484,5182,Residential - Single Family,838581,62 Peebles St,Orlando
5,5,3518,6678,Residential - Single Family,931985,133 Strickland Aly,Orlando
5,5,3518,6000,Residential - Single Family,901772,26 Mcmillian Dr,Orlando
3,2,1151,10948,Residential - Single Family,235000,2026 La Due Ct,Orlando
3,3,1678,1898,Townhouse,396000,9235 Sweet Maple Ave,Orlando
3,3,1476,6948,Residential - Single Family,320000,715 Palmera St,Orlando
2,2,1125,0,Condominium,159000,5855 La Costa Dr #116,Orlando
2,2,1107,11780,Condominium,229900,3446 Soho St #301,Orlando
3,2,1194,385598,Condominium,275000,5550 E Michigan St #3201,Orlando
2,3,1285,2638,Condominium,250000,5285 Cypress Ct #723,Orlando
2,3,1700,722,Condominium,625000,460 E Jackson St #3,Orlando
1,2,1051,0,Condominium,389900,150 E Robinson St #1425,Orlando
3,3,2049,3177,Residential - Single Family,699500,210 Hibiscus Ct,Orlando
2,2,952,3700,Condominium,179900,1935 S Conway Rd #F1,Orlando
4,3,2982,5499,Residential - Single Family,725000,4904 Palm Park St,Orlando
4,2,1597,13848,Residential - Single Family,264900,4200 Cepeda St,Orlando
4,2,1305,6349,Residential - Single Family,289000,437 S Lee Ave,Orlando
NaN,NaN,20160,NaN,Land,1355000,830 Wilkinson St,Orlando
2,2,1438,1016,Condominium,295000,6450 Alcalde Ct #103,Orlando
3,3,1779,2435,Townhouse,465000,8558 Vedder Ln,Orlando
3,2,1554,11441,Residential - Single Family,365000,5138 Brenda Dr,Orlando
NaN,NaN,7145,NaN,Land,289900,0000 E Harding St,Orlando
1,1NaN,NaN,Condominium,259900,7395 Universal #1004,Orlando
3,3,1493,6224,Attached Single Family Home,525000,1318 Noble Pl #1,Orlando
3,2,1600,6244,Condominium,244900,6593 Queens Borough Ave #202,Orlando
2,2,1056,9150,Condominium,314999,7395 Universal Blvd #402,Orlando
4,4,2553,6152,Residential - Single Family,789000,627 Woodward St,Orlando
4,4,3934,11832,Residential - Single Family,1499900,2237 Baesel View Dr,Orlando
5,6,10222,66546,Residential - Single Family,6995000,10203 Atterbury Ct,Orlando
4,3,2773,6115,Residential - Single Family,735000,770 Country Ln,Orlando
3,2,1650,8336,Residential - Single Family,454000,1712 Hart Ln,Orlando
5,3,3460,5603,Residential - Single Family,832449,118 N Rodbell St,Orlando
5,3,3460,5603,Residential - Single Family,850593,121 S Peebles St,Orlando
3,3,2411,6288,Residential - Single Family,740652,10101 Pearson,Orlando
3,3,1788,3692,Residential - Single Family,651749,10129 Pearson,Orlando
3,3,2411,3692,Residential - Single Family,727905,10115 Pearson Ave,Orlando
3,4,2584,6101,Residential - Single Family,734900,13563 Granger Ave,Orlando
5,5,3909,5607,Residential - Single Family,961895,109 E Marconi Ave,Orlando
5,5,3909,5607,Residential - Single Family,889075,134 W Leggett Aly,Orlando
5,5,3909,5607,Residential - Single Family,926297,67 S Peebles St,Orlando
3,2,1260,11495,Condominium,225000,6663 Queens Borough Ave #301,Orlando
3,2,2085,7200,Residential - Single Family,609268,176 Rawson St,Orlando
NaN,NaN,12224,NaN,Land,275000,1024 Bentley St,Orlando
5,2,2608,10624,Residential - Single Family,530000,2638 Vine St,Orlando
4,3,1299,8978,Residential - Single Family,399000,1715 N Bumby Ave,Orlando
4,2,1751,10570,Residential - Single Family,445000,5311 Jennifer Pl,Orlando
3,2,2085,7200,Residential - Single Family,614268,129 Planetree St,Orlando
NaN,NaN,23201,NaN,Land,799000,714 Cordova Dr,Orlando
4,4,3199,7199,Residential - Single Family,771179,127 Banfield Pl,Orlando
