Title,Beds,Baths,Square Feet,Property Title,Listing Price
"['40a', 'PEARSON', 'AVENUE,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"2,015 SqftSqft",Residential,"$510,990 USD"
"['2501', 'LAKE', 'SHORE', 'DRIVE,', 'Orlando,', 'FL', '32803']",4 BedsBds,3 BathsBa,"3,643 SqftSqft",Residential,"$2,600,000 USD"
"['903', 'PALM', 'COVE', 'DRIVE,', 'Orlando,', 'FL', '32835']",3 BedsBds,2 BathsBa,"1,856 SqftSqft",Residential,"$519,000 USD"
"['3022', 'TROY', 'DRIVE,', 'Orlando,', 'FL', '32806']",3 BedsBds,2 BathsBa,"2,446 SqftSqft",Residential,"$925,000 USD"
"['845', 'FLORAL', 'DRIVE,', 'Orlando,', 'FL', '32803']",3 BedsBds,3 BathsBa,"1,951 SqftSqft",Residential,"$545,000 USD"
"['5931', 'PITCH', 'PINE', 'DRIVE,', 'Orlando,', 'FL', '32819']",4 BedsBds,3 BathsBa,"2,083 SqftSqft",Residential,"$535,000 USD"
"['6206', 'CASTELVEN', 'DRIVE,', 'Orlando,', 'FL', '32835']",2 BedsBds,3 BathsBa,"1,546 SqftSqft",Residential,"$310,000 USD"
"['2071', 'LISTON', 'COURT,', 'Orlando,', 'FL', '32811']",4 BedsBds,2 BathsBa,"1,300 SqftSqft",Residential,"$199,000 USD"
"['2508', 'WOODGATE', 'BOULEVARD,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,930 SqftSqft,Residential,"$170,000 USD"
"['2849', 'Holster', 'Way,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,900 SqftSqft,Other,"$131,500 USD"
"['1620', 'S', 'EOLA', 'DRIVE,', 'Orlando,', 'FL', '32806']",2 BedsBds,1 BathBa,964 SqftSqft,Residential,"$419,500 USD"
"['5707', 'CLEARVIEW', 'DRIVE,', 'Orlando,', 'FL', '32819']",4 BedsBds,2 BathsBa,"1,374 SqftSqft",Residential,"$405,000 USD"
"['6424', 'RALEIGH', 'STREET,', 'Orlando,', 'FL', '32835']",1 BedBd,1 BathBa,794 SqftSqft,Residential,"$185,000 USD"
"['640', 'GRAND', 'STREET,', 'Orlando,', 'FL', '32805']",2 BedsBds,1 BathBa,722 SqftSqft,Residential,"$180,000 USD"
"['113', 'N', 'HAMPTON', 'AVENUE,', 'Orlando,', 'FL', '32803']",2 BedsBds,NaN,"1,200 SqftSqft",MultiFamily,"$430,000 USD"
"['4528', 'COMMANDER', 'DRIVE,', 'Orlando,', 'FL', '32822']",3 BedsBds,2 BathsBa,"1,253 SqftSqft",Residential,"$110,000 USD"
"['1620', 'PARK', 'LAKE', 'STREET,', 'Orlando,', 'FL', '32803']",3 BedsBds,2 BathsBa,"1,275 SqftSqft",Residential,"$499,000 USD"
"['3245', 'ESCONDIDO', 'DRIVE,', 'Orlando,', 'FL', '32827']",4 BedsBds,2 BathsBa,"1,920 SqftSqft",Residential,"$385,000 USD"
"['118', 'N', 'RODBELL', 'STREET,', 'Orlando,', 'FL', '32832']",5 BedsBds,3 BathsBa,"3,460 SqftSqft",Residential,"$832,449 USD"
"['1624', 'TULANE', 'STREET,', 'Orlando,', 'FL', '32804']",3 BedsBds,2 BathsBa,"1,252 SqftSqft",Residential,"$499,900 USD"
"['3406', 'SOHO', 'STREET,', 'Orlando,', 'FL', '32835']",1 BedBd,1 BathBa,945 SqftSqft,Residential,"$155,000 USD"
"['4915', 'CARTER', 'STREET,', 'Orlando,', 'FL', '32811']",NaN,NaN,NaN,Lots And Land,"$65,000 USD"
"['2831', 'Holster', 'Way,', 'Orlando,', 'FL', '32822']",3 BedsBds,2 BathsBa,NaN,Residential,"$59,950 USD             9.9K"
"['4971', 'LONGMEADOW', 'PARK', 'STREET,', 'Orlando,', 'FL', '32811']",4 BedsBds,3 BathsBa,"2,970 SqftSqft",Residential,"$659,999 USD"
"['2509', 'ELIZABETH', 'AVENUE,', 'Orlando,', 'FL', '32804']",NaN,NaN,NaN,Lots And Land,"$550,000 USD             75K"
"['2500', 'WOODGATE', 'BOULEVARD,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,900 SqftSqft,Residential,"$169,500 USD"
"['4482', 'BROOKE', 'STREET,', 'Orlando,', 'FL', '32811']",3 BedsBds,2 BathsBa,"1,206 SqftSqft",Residential,"$288,750 USD"
"['3118', 'S', 'SEMORAN', 'BOULEVARD,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,966 SqftSqft,Residential,"$215,000 USD"
"['3232', 'Merton', 'Alley,', 'Orlando,', 'FL', '32808']",3 BedsBds,3 BathsBa,"1,594 SqftSqft",Residential,"$349,990 USD"
"['8704', 'Crick', 'Alley,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"3,404 SqftSqft",Residential,"$736,990 USD"
"['502', 'LAKE', 'COMO', 'CIRCLE,', 'Orlando,', 'FL', '32803']",4 BedsBds,3 BathsBa,"2,020 SqftSqft",Residential,"$500,000 USD"
"['10259', 'PEARSON', 'AVENUE,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"2,288 SqftSqft",Residential,"$730,627 USD"
"['10057', 'OAK', 'QUARRY', 'DRIVE,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"3,524 SqftSqft",Residential,"$850,000 USD"
"['630', 'VASSAR', 'STREET,', 'Orlando,', 'FL', '32804']",2 BedsBds,2 BathsBa,"1,162 SqftSqft",Residential,"$409,000 USD"
"['1006', 'NOTTINGHAM', 'STREET,', 'Orlando,', 'FL', '32803']",3 BedsBds,3 BathsBa,"2,725 SqftSqft",Residential,"$649,000 USD"
"['530', 'E', 'CENTRAL', 'BOULEVARD,', 'Orlando,', 'FL', '32801']",1 BedBd,1 BathBa,971 SqftSqft,Residential,"$299,000 USD"
"['4164', 'PLAYER', 'CIRCLE', '#110,', 'Orlando,', 'FL', '32808']",2 BedsBds,3 BathsBa,"1,437 SqftSqft",Residential,"$217,000 USD"
"['10050', 'BROWN', 'BURROW', 'STREET,', 'Orlando,', 'FL', '32829']",4 BedsBds,3 BathsBa,"2,397 SqftSqft",Residential,"$585,000 USD"
"['10101', 'PEARSON,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"2,411 SqftSqft",Residential,"$740,652 USD"
"['3613', 'AMIGOS', 'AVENUE,', 'Orlando,', 'FL', '32808']",3 BedsBds,2 BathsBa,"1,400 SqftSqft",Residential,"$260,000 USD"
"['731', 'QUILL', 'AVENUE,', 'Orlando,', 'FL', '32805']",NaN,NaN,NaN,Lots And Land,"$46,000 USD"
"['1314', 'CARLSBAD', 'PLACE,', 'Orlando,', 'FL', '32808']",4 BedsBds,2 BathsBa,"1,295 SqftSqft",Residential,"$269,000 USD"
"['1617', 'FLORINDA', 'DRIVE,', 'Orlando,', 'FL', '32804']",5 BedsBds,3 BathsBa,"1,500 SqftSqft",Residential,"$395,000 USD"
"['210', 'KENT', 'AVENUE,', 'Orlando,', 'FL', '32805']",3 BedsBds,2 BathsBa,"1,169 SqftSqft",Residential,"$199,000 USD"
"['1127', 'MORRIS', 'AVENUE,', 'Orlando,', 'FL', '32803']",3 BedsBds,1 BathBa,"1,198 SqftSqft",Residential,"$395,000 USD"
"['204', 'E', 'SOUTH', 'STREET,', 'Orlando,', 'FL', '32801']",1 BedBd,1 BathBa,739 SqftSqft,Residential,"$240,000 USD"
"['811', 'E', 'MARKS', 'STREET,', 'Orlando,', 'FL', '32803']",4 BedsBds,3 BathsBa,"2,901 SqftSqft",Residential,"$899,000 USD"
"['2516', 'HARGILL', 'DRIVE,', 'Orlando,', 'FL', '32806']",3 BedsBds,2 BathsBa,"1,644 SqftSqft",Residential,"$464,800 USD"
"['4508', 'KIRKLAND', 'BOULEVARD,', 'Orlando,', 'FL', '32811']",3 BedsBds,2 BathsBa,"1,220 SqftSqft",Residential,"$230,000 USD"
"['13342', 'PANAMA', 'BEACH', 'COURT,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"3,606 SqftSqft",Residential,"$999,000 USD"
"['95', 'MCMILLIAN', 'DRIVE,', 'Orlando,', 'FL', '32832']",5 BedsBds,3 BathsBa,"3,460 SqftSqft",Residential,"$849,121 USD"
"['7833', 'MURCOTT', 'CIRCLE,', 'Orlando,', 'FL', '32835']",3 BedsBds,2 BathsBa,"1,523 SqftSqft",Residential,"$370,000 USD"
"['No', 'address', 'available,', 'Orlando,', 'FL', '32835']",2 BedsBds,2 BathsBa,"1,256 SqftSqft",Residential,"$243,900 USD"
"['10129', 'PEARSON,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"1,788 SqftSqft",Residential,"$651,749 USD"
"['25', 'NE', 'IVANHOE', 'BOULEVARD,', 'Orlando,', 'FL', '32804']",3 BedsBds,2 BathsBa,"1,976 SqftSqft",Residential,"$599,900 USD"
"['806', 'W', 'LAKE', 'MANN', 'DRIVE,', 'Orlando,', 'FL', '32805']",3 BedsBds,3 BathsBa,"2,417 SqftSqft",Residential,"$625,000 USD"
"['8703', 'WINDSOR', 'POINTE', 'DRIVE,', 'Orlando,', 'FL', '32829']",5 BedsBds,4 BathsBa,"3,479 SqftSqft",Residential,"$729,950 USD"
"['6524', 'SWISSCO', 'DRIVE,', 'Orlando,', 'FL', '32822']",3 BedsBds,2 BathsBa,"1,286 SqftSqft",Residential,"$277,000 USD"
"['13473', 'PANAMA', 'BEACH', 'COURT,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"4,263 SqftSqft",Residential,"$1,297,000 USD"
"['3040', 'E', 'GRANT', 'AVENUE,', 'Orlando,', 'FL', '32806']",3 BedsBds,2 BathsBa,"1,649 SqftSqft",Residential,"$439,900 USD"
"['4136', 'YELLOW', 'PINE', 'LANE,', 'Orlando,', 'FL', '32811']",2 BedsBds,2 BathsBa,909 SqftSqft,Residential,"$160,000 USD"
"['1232', 'POINSETTIA', 'AVENUE,', 'Orlando,', 'FL', '32804']",4 BedsBds,4 BathsBa,"2,712 SqftSqft",Residential,"$695,000 USD"
"['9097', 'Laureate', 'Boulevard,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"1,776 SqftSqft",Residential,"$525,000 USD"
"['6905', 'ARNOLDSON', 'STREET,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"2,771 SqftSqft",Residential,"$1,089,000 USD"
"['10376', 'MARCONI', 'AVENUE,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"1,788 SqftSqft",Residential,"$736,546 USD"
"['6408', 'Horse', 'Shoe', 'Bend,', 'Orlando,', 'FL', '32822']",3 BedsBds,2 BathsBa,"1,456 SqftSqft",Other,"$109,000 USD"
"['9028', 'LAKE', 'AVON', 'DRIVE,', 'Orlando,', 'FL', '32829']",4 BedsBds,2 BathsBa,"2,570 SqftSqft",Residential,"$499,000 USD"
"['10639', 'MARCONI', 'AVENUE,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"3,909 SqftSqft",Residential,"$901,580 USD"
"['2314', 'E', 'HARDING', 'STREET,', 'Orlando,', 'FL', '32806']",3 BedsBds,2 BathsBa,"1,433 SqftSqft",Residential,"$475,000 USD"
"['101', 'S', 'EOLA', 'DRIVE,', 'Orlando,', 'FL', '32801']",2 BedsBds,2 BathsBa,"1,255 SqftSqft",Residential,"$380,000 USD"
"['10299', 'LAKE', 'DISTRICT', 'LANE,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"1,635 SqftSqft",Residential,"$360,000 USD"
"['13856', 'Granger', 'Avenue,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"2,241 SqftSqft",Residential,"$650,000 USD"
"['111', 'S', 'HUDSON', 'STREET,', 'Orlando,', 'FL', '32835']",3 BedsBds,2 BathsBa,"1,640 SqftSqft",Residential,"$319,999 USD"
"['1100', 'DELANEY', 'AVENUE,', 'Orlando,', 'FL', '32806']",1 BedBd,1 BathBa,751 SqftSqft,Residential,"$199,000 USD"
"['6302', 'DAYSBROOK', 'DRIVE,', 'Orlando,', 'FL', '32835']",2 BedsBds,3 BathsBa,"1,546 SqftSqft",Residential,"$318,680 USD"
"['2809', 'S', 'BROWN', 'AVENUE,', 'Orlando,', 'FL', '32806']",3 BedsBds,1 BathBa,878 SqftSqft,Residential,"$264,900 USD"
"['9069', 'LEE', 'VISTA', 'BOULEVARD,', 'Orlando,', 'FL', '32829']",2 BedsBds,2 BathsBa,"1,032 SqftSqft",Residential,"$229,900 USD"
"['4200', 'CEPEDA', 'STREET,', 'Orlando,', 'FL', '32811']",4 BedsBds,2 BathsBa,"1,597 SqftSqft",Residential,"$264,900 USD"
"['1109', 'E', 'JACKSON', 'STREET,', 'Orlando,', 'FL', '32801']",4 BedsBds,5 BathsBa,"3,773 SqftSqft",Residential,"$1,448,000 USD"
"['3718', 'W', 'JEFFERSON', 'STREET,', 'Orlando,', 'FL', '32805']",3 BedsBds,2 BathsBa,"1,314 SqftSqft",Residential,"$340,000 USD"
"['340', 'MASHIE', 'LANE,', 'Orlando,', 'FL', '32804']",3 BedsBds,3 BathsBa,"3,730 SqftSqft",Residential,"$1,225,000 USD"
"['7200', 'GRACE', 'ROAD,', 'Orlando,', 'FL', '32819']",8 BedsBds,6 BathsBa,"5,201 SqftSqft",Residential,"$999,000 USD"
"['1424', 'S', 'RIO', 'GRANDE', 'AVENUE,', 'Orlando,', 'FL', '32805']",4 BedsBds,2 BathsBa,"1,300 SqftSqft",Residential,"$154,900 USD"
"['1110', 'SW', 'IVANHOE', 'BOULEVARD,', 'Orlando,', 'FL', '32804']",3 BedsBds,4 BathsBa,"3,111 SqftSqft",Residential,"$995,000 USD             105K"
"['113', 'N', 'HAMPTON', 'AVENUE,', 'Orlando,', 'FL', '32803']",3 BedsBds,2 BathsBa,"1,200 SqftSqft",Residential,"$430,000 USD"
"['134', 'W', 'LEGGETT', 'ALLEY,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"3,909 SqftSqft",Residential,"$889,075 USD"
"['121', 'S', 'PEEBLES', 'STREET,', 'Orlando,', 'FL', '32832']",5 BedsBds,3 BathsBa,"3,460 SqftSqft",Residential,"$850,593 USD"
"['840', 'KENILWORTH', 'TERRACE,', 'Orlando,', 'FL', '32803']",4 BedsBds,5 BathsBa,"4,833 SqftSqft",Residential,"$1,350,000 USD             150K"
"['8873', 'VENEZIA', 'PLANTATION', 'DRIVE,', 'Orlando,', 'FL', '32829']",3 BedsBds,2 BathsBa,"2,000 SqftSqft",Residential,"$438,000 USD"
"['54', 'W', 'JERSEY', 'STREET,', 'Orlando,', 'FL', '32806']",3 BedsBds,4 BathsBa,"2,100 SqftSqft",Residential,"$650,000 USD"
"['5414', 'SEEDLING', 'LANE,', 'Orlando,', 'FL', '32811']",3 BedsBds,2 BathsBa,"1,152 SqftSqft",Residential,"$290,000 USD"
"['4111', 'S', 'SEMORAN', 'BOULEVARD,', 'Orlando,', 'FL', '32822']",2 BedsBds,1 BathBa,"1,208 SqftSqft",Residential,"$169,999 USD"
"['4312', 'S', 'KIRKMAN', 'ROAD,', 'Orlando,', 'FL', '32811']",1 BedBd,1 BathBa,779 SqftSqft,Residential,"$162,700 USD"
"['331', 'S', 'HART', 'BOULEVARD,', 'Orlando,', 'FL', '32835']",4 BedsBds,3 BathsBa,"1,765 SqftSqft",Residential,"$389,000 USD"
"['1030', 'E', 'MARKS', 'STREET,', 'Orlando,', 'FL', '32803']",3 BedsBds,4 BathsBa,"1,880 SqftSqft",Residential,"$635,000 USD"
"['911', 'GRAND', 'CAYMAN', 'COURT,', 'Orlando,', 'FL', '32835']",3 BedsBds,2 BathsBa,"1,252 SqftSqft",Residential,"$329,900 USD"
"['133', 'STRICKLAND', 'ALLEY,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"3,518 SqftSqft",Residential,"$931,985 USD"
"['1102', 'FOX', 'HEDGE', 'LANE,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"2,688 SqftSqft",Residential,"$553,000 USD"
"['5950', 'SCOTCHWOOD', 'GLEN,', 'Orlando,', 'FL', '32822']",2 BedsBds,3 BathsBa,"1,260 SqftSqft",Residential,"$235,000 USD"
"['3250', 'CORONA', 'VILLAGE', 'WAY,', 'Orlando,', 'FL', '32835']",2 BedsBds,2 BathsBa,"1,107 SqftSqft",Residential,"$220,000 USD"
"['7517', 'LAUREATE', 'BOULEVARD,', 'Orlando,', 'FL', '32832']",3 BedsBds,2 BathsBa,"1,805 SqftSqft",Residential,"$487,900 USD"
"['9946', 'BENNINGTON', 'CHASE', 'DRIVE,', 'Orlando,', 'FL', '32829']",5 BedsBds,3 BathsBa,"2,754 SqftSqft",Residential,"$506,000 USD"
"['Lot', '492', 'S', 'APOPKA', 'VINELAND', 'ROAD,', 'Orlando,', 'FL', '32835']",NaN,NaN,NaN,Lots And Land,"$145,000 USD"
"['2218', 'ELIZABETH', 'AVENUE,', 'Orlando,', 'FL', '32804']",2 BedsBds,2 BathsBa,"1,116 SqftSqft",Residential,"$299,000 USD"
"['101', 'N', 'COTTAGE', 'HILL', 'ROAD,', 'Orlando,', 'FL', '32805']",3 BedsBds,2 BathsBa,"1,302 SqftSqft",Residential,"$285,000 USD"
"['2913', 'W', 'AMELIA', 'STREET,', 'Orlando,', 'FL', '32805']",3 BedsBds,1 BathBa,"1,073 SqftSqft",Residential,"$189,500 USD"
"['3216', 'TENNESSEE', 'TERRACE,', 'Orlando,', 'FL', '32806']",NaN,NaN,NaN,Lots And Land,"$180,000 USD"
"['2400', 'CARIBBEAN', 'COURT,', 'Orlando,', 'FL', '32805']",4 BedsBds,3 BathsBa,"2,315 SqftSqft",Residential,"$486,000 USD"
"['5440', 'WOOD', 'CROSSING', 'STREET,', 'Orlando,', 'FL', '32811']",3 BedsBds,2 BathsBa,"1,016 SqftSqft",Residential,"$190,000 USD             29.9K"
"['1039', 'S', 'HIAWASSEE', 'ROAD,', 'Orlando,', 'FL', '32835']",2 BedsBds,2 BathsBa,934 SqftSqft,Residential,"$199,000 USD"
"['521', 'W', 'PRINCETON,', 'B', 'STREET,', 'Orlando,', 'FL', '32804']",3 BedsBds,3 BathsBa,"1,440 SqftSqft",Residential,"$520,000 USD"
"['128', 'PLANE', 'TREE', 'STREET,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"4,226 SqftSqft",Residential,"$841,659 USD"
"['13426', 'Gabor', 'Ave.,', 'Orlando,', 'FL', '32832']",5 BedsBds,4 BathsBa,"3,628 SqftSqft",Residential,"$760,990 USD"
"['155', 'S', 'COURT', 'AVENUE,', 'Orlando,', 'FL', '32801']",1 BedBd,1 BathBa,729 SqftSqft,Residential,"$272,000 USD"
"['0000', 'E', 'HARDING', 'STREET,', 'Orlando,', 'FL', '32806']",NaN,NaN,NaN,Lots And Land,"$289,900 USD"
"['9085', 'Laureate', 'Boulevard,', 'Orlando,', 'FL', '32832']",2 BedsBds,2 BathsBa,"1,644 SqftSqft",Residential,"$450,000 USD"
"['6160', 'MATTOX', 'STREET,', 'Orlando,', 'FL', '32822']",4 BedsBds,2 BathsBa,"1,496 SqftSqft",Residential,"$349,900 USD"
"['1200', 'LAKE', 'BALDWIN', 'LANE,', 'Orlando,', 'FL', '32814']",3 BedsBds,4 BathsBa,"2,234 SqftSqft",Residential,"$750,000 USD"
"['3036', 'WATER', 'SPRITE', 'STREET,', 'Orlando,', 'FL', '32808']",3 BedsBds,3 BathsBa,"1,594 SqftSqft",Residential,"$362,200 USD"
"['3838', 'ROSE', 'OF', 'SHARON', 'DRIVE,', 'Orlando,', 'FL', '32808']",3 BedsBds,2 BathsBa,"1,565 SqftSqft",Residential,"$205,000 USD"
"['1101', 'MORRIS', 'AVENUE,', 'Orlando,', 'FL', '32803']",3 BedsBds,2 BathsBa,"1,078 SqftSqft",Residential,"$399,000 USD"
"['800', 'BUCKWOOD', 'DRIVE,', 'Orlando,', 'FL', '32806']",4 BedsBds,3 BathsBa,"1,675 SqftSqft",Residential,"$439,500 USD"
"['6129', 'METROWEST', 'BOULEVARD,', 'Orlando,', 'FL', '32835']",4 BedsBds,3 BathsBa,"1,868 SqftSqft",Residential,"$375,000 USD"
"['4700', 'BUGGY', 'WHIP', 'LANE,', 'Orlando,', 'FL', '32812']",2 BedsBds,2 BathsBa,"1,140 SqftSqft",Residential,"$270,000 USD"
"['189', 'MCMILLIAN', 'STREET,', 'Orlando,', 'FL', '32832']",5 BedsBds,4 BathsBa,"4,084 SqftSqft",Residential,"$991,290 USD"
"['Lot', '502', 'S', 'APOPKA', 'VINELAND', 'ROAD,', 'Orlando,', 'FL', '32819']",NaN,NaN,NaN,Lots And Land,"$325,000 USD"
"['5740', 'CEDAR', 'PINE', 'DRIVE,', 'Orlando,', 'FL', '32819']",4 BedsBds,3 BathsBa,"2,216 SqftSqft",Residential,"$665,000 USD"
"['3704', 'WELLS', 'STREET,', 'Orlando,', 'FL', '32805']",2 BedsBds,1 BathBa,888 SqftSqft,Residential,"$195,000 USD"
"['1602', 'PARK', 'LAKE', 'STREET,', 'Orlando,', 'FL', '32803']",3 BedsBds,4 BathsBa,"2,150 SqftSqft",Residential,"$625,000 USD"
"['2145', '&', '2147', 'S', 'RIO', 'GRANDE', 'AVENUE,', 'Orlando,', 'FL', '32805']",4 BedsBds,2 BathsBa,"1,656 SqftSqft",Residential,"$329,000 USD"
"['13426', 'Gabor', 'Ave.,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"2,688 SqftSqft",Residential,"$640,990 USD"
"['1329', 'MARGATE', 'AVENUE,', 'Orlando,', 'FL', '32803']",2 BedsBds,2 BathsBa,"1,322 SqftSqft",Residential,"$399,000 USD"
