Title,Beds,Baths,Square Feet,Property Title,Listing Price
"['1480', 'E', 'ILLIANA', 'STREET,', 'Orlando,', 'FL', '32806']",3 BedsBds,3 BathsBa,"1,621 SqftSqft",Residential,"$459,900 USD"
"['9819', 'BROWN', 'BURROW', 'STREET,', 'Orlando,', 'FL', '32829']",5 BedsBds,4 BathsBa,"2,908 SqftSqft",Residential,"$679,000 USD"
"['10030', 'COBALT', 'BAY', 'ROAD,', 'Orlando,', 'FL', '32827']",4 BedsBds,3 BathsBa,"2,411 SqftSqft",Residential,"$575,000 USD"
"['1112', 'CHICHESTER', 'STREET,', 'Orlando,', 'FL', '32803']",3 BedsBds,3 BathsBa,"2,252 SqftSqft",Residential,"$694,500 USD"
"['4532', 'CONLEY', 'STREET,', 'Orlando,', 'FL', '32811']",4 BedsBds,2 BathsBa,"1,547 SqftSqft",Residential,"$325,000 USD"
"['11854', 'NAUTICA', 'DRIVE,', 'Orlando,', 'FL', '32827']",4 BedsBds,3 BathsBa,"1,810 SqftSqft",Residential,"$465,000 USD"
"['91', 'NERUDA', 'STREET,', 'Orlando,', 'FL', '32832']",5 BedsBds,4 BathsBa,"3,484 SqftSqft",Residential,"$825,622 USD"
"['7517', 'LAUREATE', 'BOULEVARD,', 'Orlando,', 'FL', '32832']",3 BedsBds,2 BathsBa,"1,805 SqftSqft",Residential,"$470,000 USD"
"['127', 'BANFIELD', 'PLACE,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"3,199 SqftSqft",Residential,"$771,179 USD"
"['4746', 'KIRKLAND', 'BOULEVARD,', 'Orlando,', 'FL', '32811']",4 BedsBds,2 BathsBa,"1,252 SqftSqft",Residential,"$225,000 USD"
"['7024', 'TALLOWTREE', 'LANE,', 'Orlando,', 'FL', '32835']",4 BedsBds,2 BathsBa,"2,103 SqftSqft",Residential,"$389,900 USD"
"['1040', 'HERMAN', 'AVENUE,', 'Orlando,', 'FL', '32803']",2 BedsBds,1 BathBa,"1,019 SqftSqft",Residential,"$310,000 USD"
"['2', 'MOWRY', 'COURT,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"4,100 SqftSqft",Residential,"$874,935 USD"
"['918', 'S', 'OXALIS', 'AVENUE,', 'Orlando,', 'FL', '32807']",3 BedsBds,2 BathsBa,"1,407 SqftSqft",Residential,"$375,000 USD"
"['54', 'W', 'JERSEY', 'STREET,', 'Orlando,', 'FL', '32806']",3 BedsBds,4 BathsBa,"2,100 SqftSqft",Residential,"$615,000 USD"
"['143', 'MARCONI', 'AVENUE,', 'Orlando,', 'FL', '32832']",3 BedsBds,2 BathsBa,"2,736 SqftSqft",Residential,"$775,467 USD"
"['8095', 'Canyon', 'Lake', 'Circle', ',', 'Orlando,', 'FL', '32835']",4 BedsBds,3 BathsBa,"2,364 SqftSqft",Single-Family Home,"$675,000 USD"
"['8048', 'ASPENCREST', 'COURT,', 'Orlando,', 'FL', '32835']",4 BedsBds,2 BathsBa,"1,629 SqftSqft",Residential,"$379,999 USD"
"['6097', 'FROGGATT', 'STREET,', 'Orlando,', 'FL', '32835']",4 BedsBds,2 BathsBa,"1,959 SqftSqft",Residential,"$420,000 USD"
"['181', 'MCMILLIAN', 'DRIVE,', 'Orlando,', 'FL', '32832']",4 BedsBds,3 BathsBa,"2,883 SqftSqft",Residential,"$764,869 USD"
"['132', 'BLUELEAF', 'STREET,', 'Orlando,', 'FL', '32832']",5 BedsBds,4 BathsBa,"3,628 SqftSqft",Residential,"$801,531 USD"
"['116', 'LEGGETT', 'ALLEY,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"3,518 SqftSqft",Residential,"$923,009 USD"
"['2518', 'PORTERVIEW', 'WAY,', 'Orlando,', 'FL', '32812']",4 BedsBds,4 BathsBa,"2,854 SqftSqft",Residential,"$599,500 USD"
"['437', 'S', 'LEE', 'AVENUE,', 'Orlando,', 'FL', '32805']",4 BedsBds,2 BathsBa,"1,305 SqftSqft",Residential,"$289,000 USD"
"['9235', 'SWEET', 'MAPLE', 'AVENUE,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"1,678 SqftSqft",Residential,"$396,000 USD"
"['152', 'BLUELEAF', 'STREET,', 'Orlando,', 'FL', '32832']",4 BedsBds,3 BathsBa,"2,920 SqftSqft",Residential,"$756,978 USD"
"['7567', 'NARCOOSSEE', 'ROAD,', 'Orlando,', 'FL', '32822']",NaN,NaN,NaN,Lots And Land,"$2,750,000 USD"
"['40c', 'PEARSON', 'AVENUE,', 'Orlando,', 'FL', '32832']",3 BedsBds,2 BathsBa,"1,780 SqftSqft",Residential,"$488,990 USD"
"['14172', 'MONIZ', 'AVENUE,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"3,314 SqftSqft",Residential,"$1,200,000 USD"
"['21', 'N', 'HAMPTON,', 'Orlando,', 'FL', '32803']",4 BedsBds,3 BathsBa,"1,882 SqftSqft",Residential,"$620,000 USD"
"['664', 'BELLHURST', 'COURT,', 'Orlando,', 'FL', '32835']",3 BedsBds,2 BathsBa,"1,545 SqftSqft",Residential,"$355,000 USD"
"['8704', 'Crick', 'Alley,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"4,024 SqftSqft",Residential,"$805,990 USD"
"['4301', 'LIZSHIRE', 'LANE,', 'Orlando,', 'FL', '32822']",2 BedsBds,1 BathBa,810 SqftSqft,Residential,"$165,000 USD"
"['7903', 'PALMDALE', 'DRIVE,', 'Orlando,', 'FL', '32819']",3 BedsBds,3 BathsBa,"2,776 SqftSqft",Residential,"$699,990 USD"
"['5399', 'AEOLUS', 'WAY,', 'Orlando,', 'FL', '32808']",3 BedsBds,2 BathsBa,"1,459 SqftSqft",Residential,"$220,000 USD"
"['11855', 'PADUA', 'LANE,', 'Orlando,', 'FL', '32827']",5 BedsBds,4 BathsBa,"3,041 SqftSqft",Residential,"$960,000 USD"
"['168', 'SABATIER', 'ALLEY,', 'Orlando,', 'FL', '32832']",6 BedsBds,4 BathsBa,"3,910 SqftSqft",Residential,"$913,810 USD"
"['6480', 'RANELAGH', 'DRIVE,', 'Orlando,', 'FL', '32835']",3 BedsBds,3 BathsBa,"1,665 SqftSqft",Residential,"$299,999 USD"
"['1000', 'PALADIN', 'COURT,', 'Orlando,', 'FL', '32812']",4 BedsBds,3 BathsBa,"2,428 SqftSqft",Residential,"$485,000 USD"
"['1090', 'E', 'MICHIGAN', 'STREET,', 'Orlando,', 'FL', '32806']",1 BedBd,1 BathBa,786 SqftSqft,Residential,"$167,900 USD"
"['1749', 'S', 'RIO', 'GRANDE', 'AVENUE,', 'Orlando,', 'FL', '32805']",2 BedsBds,1 BathBa,962 SqftSqft,Residential,"$185,000 USD"
"['6148', 'WESTGATE', 'DRIVE,', 'Orlando,', 'FL', '32835']",2 BedsBds,2 BathsBa,943 SqftSqft,Residential,"$189,880 USD             35K"
"['3028', 'WATER', 'SPRITE', 'STREET,', 'Orlando,', 'FL', '32808']",3 BedsBds,3 BathsBa,"1,594 SqftSqft",Residential,"$362,200 USD"
"['13268', 'MCMILLIAN', 'DRIVE,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"3,909 SqftSqft",Residential,"$952,897 USD"
"['120', 'W', 'AMERICA', 'STREET,', 'Orlando,', 'FL', '32801']",1 BedBd,1 BathBa,636 SqftSqft,Residential,"$152,500 USD             19.5K"
"['5713', 'LAKE', 'CHAMPLAIN', 'DRIVE,', 'Orlando,', 'FL', '32829']",5 BedsBds,3 BathsBa,"3,026 SqftSqft",Residential,"$565,000 USD"
"['4008', 'W', 'JEFFERSON', 'STREET,', 'Orlando,', 'FL', '32805']",3 BedsBds,2 BathsBa,"1,550 SqftSqft",Residential,"$299,999 USD"
"['0', 'CURRYFORD', 'RD.,', 'Orlando,', 'FL', '32806']",NaN,NaN,NaN,Lots And Land,"$420,000 USD"
"['4367', 'THORNBRIAR', 'LANE,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,935 SqftSqft,Residential,"$194,999 USD"
"['328', 'MANDRAKE', 'STREET,', 'Orlando,', 'FL', '32811']",2 BedsBds,1 BathBa,849 SqftSqft,Residential,"$204,900 USD"
"['9981', 'Moss', 'Rose', 'Way,', 'Orlando,', 'FL', '32832']",4 BedsBds,3 BathsBa,"2,689 SqftSqft",Residential,"$699,900 USD"
"['513', 'W', 'PRINCETON', 'STREET,', 'Orlando,', 'FL', '32804']",3 BedsBds,3 BathsBa,"1,592 SqftSqft",Residential,"$550,600 USD"
"['6', 'MOWRY', 'COURT,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"3,630 SqftSqft",Residential,"$848,593 USD"
"['14', 'MOWRY', 'COURT,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"4,226 SqftSqft",Residential,"$914,871 USD"
"['13426', 'Gabor', 'Ave.,', 'Orlando,', 'FL', '32832']",4 BedsBds,3 BathsBa,"2,689 SqftSqft",Residential,"$642,990 USD"
"['4518', 'COMMANDER', 'DRIVE,', 'Orlando,', 'FL', '32822']",3 BedsBds,2 BathsBa,"1,253 SqftSqft",Residential,"$210,000 USD"
"['3468', 'SOHO', 'STREET,', 'Orlando,', 'FL', '32835']",2 BedsBds,2 BathsBa,"1,233 SqftSqft",Residential,"$199,000 USD"
"['1610', 'LAKEN', 'COVE', 'LANE,', 'Orlando,', 'FL', '32804']",4 BedsBds,4 BathsBa,"3,863 SqftSqft",Residential,"$2,300,000 USD"
"['187', 'MCMILLIAN', 'STREET,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"4,344 SqftSqft",Residential,"$1,023,140 USD"
"['8841', 'PALM', 'LAKE', 'DRIVE,', 'Orlando,', 'FL', '32819']",NaN,NaN,NaN,Lots And Land,"$1,000,000 USD"
"['6111', 'METROWEST', 'BOULEVARD,', 'Orlando,', 'FL', '32835']",3 BedsBds,3 BathsBa,"1,678 SqftSqft",Residential,"$322,000 USD"
"['124', 'PEEBLES', 'STREET,', 'Orlando,', 'FL', '32832']",4 BedsBds,2 BathsBa,"3,400 SqftSqft",Residential,"$660,990 USD             238K"
"['8989', 'LEE', 'VISTA', 'BOULEVARD,', 'Orlando,', 'FL', '32829']",2 BedsBds,2 BathsBa,"1,255 SqftSqft",Residential,"$275,000 USD"
"['4999', 'LACAYA', 'WAY,', 'Orlando,', 'FL', '32808']",3 BedsBds,2 BathsBa,"1,740 SqftSqft",Residential,"$357,000 USD"
"['5014', 'HIDDEN', 'SPRINGS', 'BOULEVARD,', 'Orlando,', 'FL', '32819']",4 BedsBds,3 BathsBa,"2,393 SqftSqft",Residential,"$519,000 USD"
"['2912', 'Canyon', 'Drive,', 'Orlando,', 'FL', '32822']",3 BedsBds,2 BathsBa,"1,288 SqftSqft",Other,"$55,000 USD"
"['3362', 'GREENWICH', 'VILLAGE', 'BOULEVARD,', 'Orlando,', 'FL', '32835']",2 BedsBds,2 BathsBa,"1,430 SqftSqft",Residential,"$268,000 USD"
"['1324', 'ANCHOR', 'COURT,', 'Orlando,', 'FL', '32804']",4 BedsBds,3 BathsBa,"3,118 SqftSqft",Residential,"$799,900 USD"
"['4093', 'DIJON', 'DRIVE,', 'Orlando,', 'FL', '32808']",2 BedsBds,2 BathsBa,"1,165 SqftSqft",Residential,"$165,000 USD"
"['9981', 'MOSS', 'ROSE', 'WAY,', 'Orlando,', 'FL', '32832']",4 BedsBds,3 BathsBa,"2,689 SqftSqft",Residential,"$699,900 USD"
"['No', 'address', 'available,', 'Orlando,', 'FL', '32811']",4 BedsBds,2 BathsBa,"1,272 SqftSqft",Residential,"$215,000 USD"
"['8121', 'CONROY', 'WINDERMERE', 'ROAD,', 'Orlando,', 'FL', '32835']",NaN,NaN,NaN,Lots And Land,"$1,900,000 USD             600K"
"['707', 'MAYFAIR', 'CIRCLE,', 'Orlando,', 'FL', '32803']",4 BedsBds,3 BathsBa,"2,559 SqftSqft",Residential,"$629,900 USD"
"['4409', 'S', 'SEMORAN', 'BOULEVARD,', 'Orlando,', 'FL', '32822']",3 BedsBds,2 BathsBa,"1,426 SqftSqft",Residential,"$173,000 USD"
"['13109', 'MCMILLIAN', 'DRIVE,', 'Orlando,', 'FL', '32832']",4 BedsBds,3 BathsBa,"2,883 SqftSqft",Residential,"$778,869 USD"
"['181', 'RAWSON', 'STREET,', 'Orlando,', 'FL', '32832']",4 BedsBds,3 BathsBa,"2,687 SqftSqft",Residential,"$733,555 USD"
"['2410', 'CENTER', 'AVENUE,', 'Orlando,', 'FL', '32806']",4 BedsBds,2 BathsBa,"1,420 SqftSqft",Residential,"$530,000 USD"
"['100', 'S', 'EOLA', 'DRIVE,', 'Orlando,', 'FL', '32801']",1 BedBd,2 BathsBa,"1,400 SqftSqft",Residential,"$419,000 USD"
"['7002', 'HARBOR', 'HEIGHTS', 'DRIVE,', 'Orlando,', 'FL', '32835']",3 BedsBds,2 BathsBa,"1,223 SqftSqft",Residential,"$275,000 USD"
"['151', 'E', 'WASHINGTON', 'STREET,', 'Orlando,', 'FL', '32801']",1 BedBd,1 BathBa,975 SqftSqft,Residential,"$205,000 USD"
"['126', 'N', 'PEEBLES', 'STREET,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"3,909 SqftSqft",Residential,"$913,425 USD"
"['9844', 'CYPRESS', 'PINE', 'STREET,', 'Orlando,', 'FL', '32827']",4 BedsBds,2 BathsBa,"2,439 SqftSqft",Residential,"$700,000 USD"
"['321', 'E', 'HARVARD', 'STREET,', 'Orlando,', 'FL', '32804']",7 BedsBds,5 BathsBa,"2,698 SqftSqft",Residential,"$1,049,000 USD"
"['2518', 'PORTERVIEW', 'WAY,', 'Orlando,', 'FL', '32812']",4 BedsBds,4 BathsBa,"2,854 SqftSqft",Residential,"$599,500 USD"
"['1602', 'PARK', 'LAKE', 'STREET,', 'Orlando,', 'FL', '32803']",3 BedsBds,4 BathsBa,"2,120 SqftSqft",Residential,"$625,000 USD"
"['7517', 'LAUREATE', 'BOULEVARD,', 'Orlando,', 'FL', '32832']",2 BedsBds,2 BathsBa,"1,486 SqftSqft",Residential,"$434,999 USD"
"['4', 'MOWRY', 'COURT,', 'Orlando,', 'FL', '32832']",4 BedsBds,3 BathsBa,"3,210 SqftSqft",Residential,"$833,893 USD"
"['8704', 'Crick', 'Alley,', 'Orlando,', 'FL', '32832']",3 BedsBds,2 BathsBa,"2,432 SqftSqft",Residential,"$635,990 USD"
"['7009', 'TALLOWTREE', 'LANE,', 'Orlando,', 'FL', '32835']",4 BedsBds,2 BathsBa,"2,021 SqftSqft",Residential,"$405,000 USD"
"['4403', 'HECTOR', 'COURT,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,876 SqftSqft,Residential,"$199,900 USD"
"['3143', 'JON', 'JON', 'COURT,', 'Orlando,', 'FL', '32822']",3 BedsBds,2 BathsBa,"1,313 SqftSqft",Residential,"$315,000 USD"
"['67', 'S', 'PEEBLES', 'STREET,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"3,909 SqftSqft",Residential,"$926,297 USD"
"['92', 'NERUDA', 'STREET,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"3,470 SqftSqft",Residential,"$929,401 USD"
"['8704', 'Crick', 'Alley,', 'Orlando,', 'FL', '32832']",5 BedsBds,4 BathsBa,"3,764 SqftSqft",Residential,"$777,990 USD"
"['5423', 'TIMBERCHASE', 'COURT,', 'Orlando,', 'FL', '32811']",3 BedsBds,2 BathsBa,"1,100 SqftSqft",Residential,"$325,000 USD"
"['10542', 'LANGEFIELD', 'STREET,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"2,171 SqftSqft",Residential,"$525,000 USD"
"['50', 'PEARSON,', 'Orlando,', 'FL', '32832']",3 BedsBds,3 BathsBa,"2,411 SqftSqft",Residential,"$753,499 USD"
"['4105', 'FAIRVIEW', 'VISTA', 'POINT,', 'Orlando,', 'FL', '32804']",2 BedsBds,2 BathsBa,"1,065 SqftSqft",Residential,"$266,900 USD"
"['6405', 'Golden', 'Nugget', 'Drive,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,920 SqftSqft,Other,"$50,000 USD"
"['3368', 'ROBERT', 'TRENT', 'JONES', 'DRIVE,', 'Orlando,', 'FL', '32835']",3 BedsBds,2 BathsBa,"2,002 SqftSqft",Residential,"$356,900 USD"
"['2903', 'Nowak', 'Dr,', 'Orlando,', 'FL', '32804']",3 BedsBds,2 BathsBa,"1,031 SqftSqft",Other,"$128,500 USD"
"['4742', 'FONTANA', 'STREET,', 'Orlando,', 'FL', '32807']",3 BedsBds,2 BathsBa,"1,450 SqftSqft",Residential,"$480,000 USD"
"['2260', 'WILLIE', 'MAYS', 'PARKWAY,', 'Orlando,', 'FL', '32811']",3 BedsBds,2 BathsBa,"1,142 SqftSqft",Residential,"$199,999 USD"
"['4432', 'WATCH', 'HILL', 'ROAD,', 'Orlando,', 'FL', '32808']",3 BedsBds,2 BathsBa,"1,275 SqftSqft",Residential,"$299,000 USD"
"['19277', 'ALLIUM', 'PLACE,', 'Orlando,', 'FL', '32832']",4 BedsBds,3 BathsBa,"2,235 SqftSqft",Residential,"$647,523 USD"
"['188', 'MCMILLIAN', 'STREET,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"3,724 SqftSqft",Residential,"$973,492 USD"
"['3667', 'SWEET', 'BUTTERCUP', 'DRIVE,', 'Orlando,', 'FL', '32822']",4 BedsBds,3 BathsBa,"2,291 SqftSqft",Residential,"$649,900 USD"
"['7474', 'RANCHERO', 'STREET,', 'Orlando,', 'FL', '32822']",3 BedsBds,2 BathsBa,"1,825 SqftSqft",Residential,"$192,000 USD"
"['5271', 'JENNIFER', 'PLACE,', 'Orlando,', 'FL', '32807']",3 BedsBds,2 BathsBa,"1,860 SqftSqft",Residential,"$429,000 USD"
"['4367', 'THORNBRIAR', 'LANE,', 'Orlando,', 'FL', '32822']",2 BedsBds,2 BathsBa,935 SqftSqft,Residential,"$194,999 USD"
"['5572', 'METROWEST', 'BOULEVARD,', 'Orlando,', 'FL', '32811']",2 BedsBds,2 BathsBa,"1,093 SqftSqft",Residential,"$115,000 USD"
"['1', 'MOWRY', 'COURT,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"3,630 SqftSqft",Residential,"$926,593 USD"
"['S', 'ECONLOCKHATCHEE', 'TRAIL,', 'Orlando,', 'FL', '32829']",NaN,NaN,NaN,Lots And Land,"$3,000,000 USD"
"['2209', 'GOOD', 'HOMES', 'ROAD,', 'Orlando,', 'FL', '32818']",3 BedsBds,2 BathsBa,"1,729 SqftSqft",Residential,"$415,000 USD"
"['3152', 'BARNSTABLE', 'PLACE,', 'Orlando,', 'FL', '32827']",3 BedsBds,2 BathsBa,"1,571 SqftSqft",Residential,"$310,000 USD"
"['S', 'APOPKA', 'VINELAND,', 'Orlando,', 'FL', '32819']",NaN,NaN,NaN,Lots And Land,"$299,000 USD"
"['9797', 'TIRAMASU', 'TRAIL,', 'Orlando,', 'FL', '32829']",3 BedsBds,3 BathsBa,"1,698 SqftSqft",Residential,"$230,000 USD"
"['7505', 'LAUREATE', 'BOULEVARD,', 'Orlando,', 'FL', '32832']",2 BedsBds,2 BathsBa,"1,486 SqftSqft",Residential,"$400,000 USD"
"['8163', 'CORKFIELD', 'AVENUE,', 'Orlando,', 'FL', '32832']",4 BedsBds,3 BathsBa,"2,170 SqftSqft",Residential,"$550,000 USD"
"['MANATEE', 'STREET,', 'Orlando,', 'FL', '32822']",NaN,NaN,NaN,Lots And Land,"$242,000 USD"
"['3159', 'MERTON', 'ALLEY,', 'Orlando,', 'FL', '32808']",3 BedsBds,3 BathsBa,"1,594 SqftSqft",Residential,"$362,990 USD"
"['MANATEE', 'STREET,', 'Orlando,', 'FL', '32822']",NaN,NaN,NaN,Lots And Land,"$242,000 USD"
"['3727', 'S', 'LAKE', 'ORLANDO', 'PARKWAY,', 'Orlando,', 'FL', '32808']",2 BedsBds,2 BathsBa,"1,021 SqftSqft",Residential,"$174,000 USD"
"['652', 'CHARING', 'COURT,', 'Orlando,', 'FL', '32835']",3 BedsBds,3 BathsBa,"1,710 SqftSqft",Residential,"$359,900 USD"
"['13119', 'GRANGER', 'AVENUE,', 'Orlando,', 'FL', '32832']",5 BedsBds,5 BathsBa,"4,054 SqftSqft",Residential,"$1,049,777 USD"
"['1804', 'CURRY', 'AVE,', 'Orlando,', 'FL', '32812']",3 BedsBds,2 BathsBa,"1,811 SqftSqft",Residential,"$349,000 USD"
"['2883', 'Canyon', 'Drive,', 'Orlando,', 'FL', '32822']",4 BedsBds,2 BathsBa,"1,478 SqftSqft",Other,"$156,900 USD"
"['4536', 'COMMANDER', 'DRIVE,', 'Orlando,', 'FL', '32822']",1 BedBd,1 BathBa,735 SqftSqft,Residential,"$124,000 USD"
"['3632', 'SENECA', 'CLUB', 'LOOP,', 'Orlando,', 'FL', '32808']",3 BedsBds,3 BathsBa,"1,540 SqftSqft",Residential,"$289,900 USD"
"['13426', 'Gabor', 'Ave.,', 'Orlando,', 'FL', '32832']",4 BedsBds,4 BathsBa,"2,843 SqftSqft",Residential,"$653,990 USD"
"['3224', 'Merton', 'Alley,', 'Orlando,', 'FL', '32808']",3 BedsBds,3 BathsBa,"1,594 SqftSqft",Residential,"$354,990 USD"
"['5215', 'HILLVIEW', 'LANE,', 'Orlando,', 'FL', '32819']",5 BedsBds,6 BathsBa,"3,832 SqftSqft",Residential,"$1,899,000 USD"
"['830', 'WILKINSON', 'STREET,', 'Orlando,', 'FL', '32803']",NaN,NaN,NaN,Lots And Land,"$1,355,000 USD"
"['1602', 'PARK', 'LAKE', 'STREET,', 'Orlando,', 'FL', '32803']",3 BedsBds,4 BathsBa,"2,212 SqftSqft",Residential,"$650,000 USD"
"['353', 'DEMPSEY', 'WAY,', 'Orlando,', 'FL', '32835']",3 BedsBds,2 BathsBa,"1,497 SqftSqft",Residential,"$429,000 USD"
